iter	Passed	Remaining
0	194	194604
1	214	107018
2	229	76309
3	240	59900
4	247	49297
5	254	42100
6	261	37082
7	267	33198
8	273	30151
9	280	27744
10	286	25747
11	292	24094
12	298	22688
13	304	21475
14	311	20462
15	318	19559
16	323	18729
17	330	18022
18	336	17393
19	343	16807
20	349	16297
21	355	15821
22	362	15378
23	368	14997
24	375	14629
25	381	14281
26	387	13978
27	394	13680
28	401	13435
29	408	13210
30	414	12970
31	421	12737
32	427	12531
33	433	12330
34	440	12137
35	446	11960
36	453	11792
37	459	11643
38	466	11490
39	472	11343
40	478	11197
41	485	11067
42	491	10938
43	497	10809
44	504	10700
45	509	10574
46	516	10466
47	522	10371
48	529	10273
49	535	10177
50	542	10089
51	549	10010
52	555	9928
53	562	9862
54	569	9785
55	575	9702
56	581	9627
57	588	9554
58	593	9472
59	600	9406
60	606	9335
61	612	9265
62	619	9213
63	625	9150
64	632	9094
65	638	9036
66	644	8974
67	650	8920
68	657	8868
69	663	8811
70	669	8765
71	676	8724
72	682	8669
73	689	8622
74	695	8573
75	701	8525
76	707	8479
77	713	8434
78	719	8390
79	726	8351
80	731	8305
81	738	8266
82	744	8225
83	750	8188
84	757	8156
85	764	8124
86	771	8092
87	778	8063
88	784	8027
89	789	7987
90	797	7963
91	804	7935
92	810	7902
93	817	7880
94	824	7853
95	830	7821
96	837	7795
97	844	7771
98	850	7740
99	857	7715
100	864	7693
101	870	7664
102	877	7637
103	883	7612
104	890	7586
105	896	7558
106	902	7534
107	908	7505
108	915	7483
109	922	7462
110	928	7438
111	934	7412
112	941	7392
113	947	7365
114	954	7345
115	961	7330
116	968	7307
117	974	7286
118	980	7262
119	986	7236
120	994	7224
121	1002	7215
122	1010	7201
123	1016	7182
124	1023	7166
125	1031	7154
126	1037	7133
127	1043	7110
128	1049	7089
129	1056	7067
130	1062	7050
131	1069	7032
132	1075	7011
133	1082	6992
134	1088	6973
135	1094	6953
136	1101	6936
137	1107	6919
138	1113	6897
139	1120	6881
140	1126	6862
141	1132	6843
142	1138	6825
143	1145	6809
144	1151	6789
145	1157	6769
146	1163	6751
147	1170	6736
148	1176	6720
149	1182	6700
150	1188	6684
151	1194	6666
152	1200	6647
153	1207	6632
154	1213	6614
155	1219	6600
156	1226	6583
157	1232	6569
158	1239	6554
159	1245	6539
160	1251	6521
161	1257	6505
162	1264	6491
163	1270	6477
164	1277	6463
165	1282	6445
166	1288	6429
167	1295	6415
168	1301	6398
169	1307	6383
170	1313	6369
171	1319	6353
172	1325	6338
173	1332	6323
174	1338	6308
175	1344	6294
176	1350	6278
177	1356	6263
178	1362	6250
179	1368	6235
180	1375	6224
181	1382	6212
182	1388	6197
183	1395	6187
184	1401	6174
185	1407	6159
186	1415	6151
187	1421	6141
188	1427	6126
189	1434	6114
190	1440	6103
191	1447	6090
192	1453	6078
193	1460	6067
194	1466	6054
195	1473	6043
196	1479	6031
197	1485	6018
198	1492	6006
199	1498	5993
200	1504	5980
201	1510	5968
202	1516	5953
203	1522	5941
204	1528	5928
205	1534	5913
206	1540	5901
207	1546	5887
208	1552	5875
209	1559	5865
210	1565	5853
211	1571	5842
212	1577	5830
213	1583	5817
214	1590	5807
215	1596	5793
216	1602	5781
217	1608	5770
218	1615	5759
219	1621	5748
220	1627	5737
221	1633	5724
222	1639	5712
223	1646	5702
224	1652	5692
225	1659	5683
226	1667	5676
227	1673	5665
228	1679	5656
229	1686	5644
230	1692	5633
231	1698	5622
232	1704	5609
233	1710	5600
234	1717	5589
235	1722	5577
236	1729	5568
237	1736	5558
238	1742	5549
239	1749	5541
240	1756	5530
241	1761	5518
242	1768	5508
243	1774	5498
244	1780	5487
245	1787	5478
246	1793	5467
247	1799	5457
248	1806	5447
249	1812	5436
250	1818	5427
251	1824	5416
252	1831	5407
253	1837	5398
254	1843	5386
255	1849	5375
256	1856	5366
257	1862	5355
258	1867	5344
259	1874	5334
260	1880	5324
261	1886	5314
262	1892	5303
263	1898	5292
264	1904	5282
265	1910	5271
266	1916	5262
267	1923	5252
268	1929	5242
269	1935	5233
270	1941	5223
271	1948	5214
272	1954	5205
273	1960	5195
274	1967	5185
275	1973	5176
276	1979	5167
277	1985	5157
278	1991	5147
279	1997	5137
280	2004	5127
281	2010	5118
282	2016	5109
283	2023	5100
284	2029	5092
285	2035	5081
286	2041	5072
287	2047	5062
288	2054	5054
289	2061	5048
290	2068	5039
291	2075	5032
292	2081	5022
293	2087	5013
294	2093	5004
295	2100	4995
296	2106	4986
297	2113	4979
298	2120	4970
299	2127	4964
300	2134	4956
301	2140	4947
302	2147	4939
303	2153	4930
304	2159	4921
305	2165	4911
306	2172	4903
307	2178	4893
308	2185	4886
309	2191	4878
310	2198	4869
311	2205	4862
312	2211	4854
313	2217	4845
314	2223	4835
315	2230	4827
316	2236	4818
317	2242	4809
318	2248	4801
319	2255	4792
320	2261	4782
321	2267	4774
322	2273	4764
323	2279	4756
324	2286	4748
325	2292	4739
326	2298	4730
327	2304	4722
328	2310	4713
329	2317	4704
330	2323	4695
331	2329	4687
332	2335	4678
333	2341	4669
334	2348	4662
335	2354	4653
336	2360	4644
